"Function","ControlRef","Status","Check","Severity","Evidence","Recommendation"
"Test-ASREAccountManagementEvents","Audit collection error","ERROR","Test-ASREAccountManagementEvents","High","No events were found that match the specified selection criteria.","Investigate the collection error before treating the check as complete."
"Test-ASREAdministratorAccount","ISO/IEC 27001:2022-aligned privileged access","WARN","Built-in Administrator account","Medium","Administrator Enabled=True","Prefer named administrative accounts and apply least privilege; disable the built-in account where operationally appropriate."
"Test-ASREAdministratorsGroup","ISO/IEC 27001:2022-aligned access rights management","PASS","Local Administrators membership","High","MemberCount=2; DESKTOP-CGQH04K\Administrator [User]; DESKTOP-CGQH04K\LiteOS [User]","Validate every privileged member, remove unnecessary access and prefer role-based named administration."
"Test-ASREAuditPolicy","ISO/IEC 27001:2022-aligned logging and monitoring","PASS","Windows audit policy collection","High","ExitCode=0; EvidenceFile=C:\Users\Administrator\Desktop\windows-security-audit-powershell-v2\Evidence\audit-policy.txt; Preview=System audit policy    Category/Subcategory                      Setting  System    Security System Extension               No Auditing      System Integrity                        Success and Failure      IPsec Driver                            No Auditing      Other System Events                     Success and Failure      Security State Change                   Success    Logon/Logoff    Logon                                   Success and Failure      Logoff                                  Success      Account Lockout                         Success      IPsec Main Mode                         No Auditing      IPsec Quick Mode                        No Auditing      IPsec Extended Mode                     No Auditing      Special Logon                           Success      Other Logon/Logoff Events               No Auditing      Network Policy Server                   Success and Failure      User / Device Claims                    No Auditing      Group Membership               ...","Retain the audit-policy output as evidence and compare required subcategories with the organisation logging baseline."
"Test-ASREAutomaticRunningServices","ISO/IEC 27001:2022-aligned configuration management","INFO","Automatic running services","Medium","Count=43","Review the automatic service inventory for unnecessary or unexpected services."
"Test-ASREBackupOperatorsGroup","ISO/IEC 27001:2022-aligned privileged access","INFO","Backup Operators membership","Medium","MemberCount=0; ","Review membership because backup privileges can enable access to protected data."
"Test-ASREBitLockerStatus","ISO/IEC 27001:2022-aligned cryptographic controls","WARN","BitLocker system-volume status","High","MountPoint=C:; VolumeStatus=FullyDecrypted; ProtectionStatus=Off; EncryptionPercentage=0","Enable and maintain full-disk encryption and key recovery controls for protected endpoints."
"Test-ASRECollectionMetadata","ISO/IEC 27001:2022-aligned documented information","PASS","Collection metadata","Info","CollectionTime=2026-09-12T09:47:12.5016231-07:00; Computer=DESKTOP-CGQH04K; User=Administrator; PowerShell=5.1.19041.2364; OSArchitecture=; Is64Bit=True","Retain collection context so the evidence can be traced to the assessed endpoint and time."
"Test-ASRECriticalServices","ISO/IEC 27001:2022-aligned operational controls","INFO","Critical Windows services","Medium","EventLog=Status:Running;Start:Automatic; WinDefend=NotPresent; wuauserv=Status:Running;Start:Manual; W32Time=Status:Stopped;Start:Disabled","Confirm security-relevant services are running and appropriately configured."
"Test-ASREDefenderScanStatus","Audit collection error","ERROR","Test-ASREDefenderScanStatus","High","The term 'Get-MpComputerStatus' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again.","Investigate the collection error before treating the check as complete."
